Make,Model,Year,Mileage,ImportHistory,FuelEconomy
mitsubishi,outlander,2013,"251,155km",Imported,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"52,000km",Imported,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"144,800km",Imported,"1998cc, Plug-in hybrid"
mitsubishi,outlander,2013,"118,000km",New Zealand New,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"53,678km",Imported,"1998cc, Plug-in hybrid"
mitsubishi,outlander,2013,"97,000km",Imported,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"50,000km",Imported,"1990cc, Plug-in hybrid"
mitsubishi,outlander,2013,"87,493km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"45,773km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"80,000km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"95,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"65,000km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"84,700km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"22,649km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"46,000km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"52,618km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"53,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"113,923km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"69,040km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"77,510km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"37,989km",N/A,"1997cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"75,402km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"131,535km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"147,890km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"75,600km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"133,985km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"151,914km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"137,940km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"105,205km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"122,706km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"128,840km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"96,470km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"106,405km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"131,265km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"60,000km",N/A,"2400cc, Petrol, Automatic"
mitsubishi,outlander,2013,"40,188km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"53,654km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"76,711km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"99,513km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"68,740km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"53,710km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"96,425km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"85,677km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"60,859km",Imported,"2000cc, Automatic"
mitsubishi,outlander,2013,"88,308km",Imported,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"89,000km",Imported,"Electric, Automatic"
mitsubishi,outlander,2013,"98,300km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"94,000km",N/A,"2000cc, Plug-in hybrid, Tiptronic"
mitsubishi,outlander,2013,"121,492km",N/A,"2000cc, Automatic"
mitsubishi,outlander,2013,"111,652km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"91,150km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"94,000km",N/A,"2000cc, Plug-in hybrid, Tiptronic"
mitsubishi,outlander,2013,"121,492km",N/A,"2000cc, Automatic"
mitsubishi,outlander,2013,"65,936km",Imported,"2000cc, Automatic"
mitsubishi,outlander,2013,"19,000km",N/A,"2000cc, Plug-in hybrid, Tiptronic"
mitsubishi,outlander,2013,"38,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"63,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"94,190km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"49,914km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"93,273km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"43,000km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"97,692km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"33,773km",N/A,2000cc
mitsubishi,outlander,2013,"66,000km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"50,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"46,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"76,021km",Imported,"2000cc, Automatic"
mitsubishi,outlander,2013,"79,257km",Imported,"2000cc, Automatic"
mitsubishi,outlander,2013,"100,738km",Imported,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"141,399km",Imported,"1990cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"55,559km",Imported,"2000cc, Automatic"
mitsubishi,outlander,2013,"75,116km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"43,773km",Imported,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"71,126km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"64,800km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"108,600km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"139,400km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"133,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"141,800km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"154,700km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"151,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"151,900km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"116,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"60,220km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"63,715km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"60,220km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"130,855km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"83,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"51,900km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"53,162km",Imported,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"53,162km",Imported,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"63,454km",Imported,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"43,500km",Imported,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"141,000km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"53,162km",Imported,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"63,454km",Imported,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"77,500km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"41,298km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"56,843km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"40,900km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"28,550km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"65,992km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"57,403km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"132,768km",N/A,"2000cc, Petrol, Automatic"
mitsubishi,outlander,2013,"80,000km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"48,046km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"164,886km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"126,751km",N/A,"1998cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"81,101km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"105,000km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"35,070km",N/A,"2000cc, Hybrid, Automatic"
mitsubishi,outlander,2013,"85,646km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"55,700km",Imported,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"88,000km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"42,482km",N/A,"2000cc, Automatic"
mitsubishi,outlander,2013,"73,470km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"51,016km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"102,303km",Imported,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"72,328km",Imported,"1990cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"68,500km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"116,152km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"57,080km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"70,240km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"113,134km",N/A,"1990cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"106,898km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"62,259km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"93,187km",N/A,"2000cc, Petrol, Automatic"
mitsubishi,outlander,2013,"79,245km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"84,686km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"112,020km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"53,939km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"59,927km",N/A,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"87,160km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"52,032km",Imported,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"92,386km",Imported,"2000cc, Petrol, Automatic"
mitsubishi,outlander,2013,"20,800km",N/A,"2000cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"57,500km",Imported,"1990cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"82,997km",Imported,"1999cc, Plug-in hybrid, Automatic"
